---process control block statistics---

used now  ready  wait  total(add run)
 3         2       0       3
 4         2       1       4
 5         2       2       5
 5         2       2       5
 4         2       1       4
 3         2       0       3
 4         2       1       4
 5         2       2       5
 5         2       2       5
 4         2       1       4
 3         2       0       3
 2         1       0       2
 3         1       1       3
 3         1       1       3
 3         1       1       3
 2         1       0       2
 3         1       1       3
 2         1       0       2
 3         1       1       3
 3         1       1       3
 3         1       1       3
 2         1       0       2
 3         1       1       3
 3         1       1       3
 3         1       1       3
 2         0       1       2
 3         0       2       3
 3         0       2       3
 3         0       2       3
